,title,artist,lyrics
59,Grenade,Bruno Mars,"Easy come, easy go
That's just how you live
Oh take, take, take it all but you never give
Should've known you was trouble from the first kiss
Had your eyes wide open
Why were they open

Gave you all I had and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever ask
Cause what you don't understand is

I'd catch a grenade for ya (yeah yeah)
Throw my hand on a blade for ya (yeah yeah)
I'd jump in front of a train for ya (yeah yeah)
You know I'd do anything for ya (yeah yeah)
Oh whoa oh
I would go through all this pain
Take a bullet straight through my brain
Yes I would die for you baby
But you won't do the same
No no no no

Black, black, black and blue
Beat me till I'm numb
Tell the devil I said hey 
When you get back to where you're from
Mad woman, bad woman that's just what you are
Yeah you smile in my face then rip the breaks out my car

Gave you all I had and you tossed it in the trash
You tossed it in the trash, yes you did
To give me all your love is all I ever ask
Cause what you don't understand is

I'd catch a grenade for ya (yeah yeah)
Throw my hand on a blade for ya (yeah yeah)
I'd jump in front of a train for ya (yeah yeah)
You know I'd do anything for ya (yeah yeah)
Oh whoa oh
I would go through all this pain
Take a bullet straight through my brain
Yes I would die for you baby
But you won't do the same

If my body was on fire
Ooh you'd watch me burn down in flames
You said you love me, you're a liar
Cause you never ever, ever did baby

But darling I'd still catch a grenade for ya (yeah yeah)
Throw my hand on a blade for ya (yeah yeah)
I'd jump in front of a train for ya (yeah yeah)
You know I'd do anything for ya (yeah yeah)
Oh whoa oh
I would go through all this pain
Take a bullet straight through my brain
Yes I would die for you, baby
But you won't do the same
No you won't do the same
You wouldn't do the same
You'd never do the same
No no no no no"
60,Tonight Tonight,Hot Chelle Rae,"It's been a really really messed up week
Seven days of torture, seven days of bitter
And my girlfriend went cheating on me
She's a California dime but it's time for me to quit her

La la la, whatever, la la la, it doesn't matter
La la la, oh well, la la la, we're going at it tonight

Tonight, there's a party on the rooftop top of the world
Tonight, tonight, and we're dancing on the edge of a Hollywood sign
I don't know if I'll make it, but watch how good I'll fake it
It's all right, all right, tonight, tonight

I woke up with a strange tattoo
Not sure how I got it, not a dollar in my pocket
And it kinda looks just like you
Mixed with Zach Galifianakis

La la la, whatever, la la la, it doesn't matter
La la la, oh well, la la la, we're going at it tonight

Tonight, there's a party on the rooftop top of the world
Tonight, tonight, and we're dancing on the edge of a Hollywood sign
I don't know if I'll make it, but watch how good I'll fake it
It's all right, all right, tonight, tonight

You got me singing like woahhh (come on) ohh
(it doesn't matter) woahhh (everybody now) ohh

Just don't stop let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party dance if I want to
We can get crazy, let it all out
Just don't stop let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party dance if I want to
We can get crazy let it all out

It's you and me and we're runnin' this town
And it's me and you and we're shakin' the ground
And ain't nobody gonna tell us to go cause this is our show

Everybody, woahhh (come on) ohh (all you animals)
woahhh (let me hear you now) ohh

Tonight, there's a party on the rooftop top of the world
Tonight, tonight, and we're dancing on the edge of a Hollywood sign
I don't know if I'll make it, but watch how good I'll fake it
It's all right, all right, tonight, tonight

Just singing like woahhh (come on) ohh (all you party people)
woahhh (all you singletons) ohh (even the white kids)

Woahhh ohh, woahhh ohh
Just don't stop let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party dance if I want to
We can get crazy let it all out
Just don't stop let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party dance if I want to
We can get crazy let it all out"
61,What the Hell,Avril Lavigne,"[Verse 1]
You say that I'm messing with your head
Yeah-yeah, yeah-yeah
All 'cause I was making out with your friend
Yeah-yeah, yeah-yeah
Love hurts, whether it's right or wrong
Yeah-yeah, yeah-yeah
I can't stop 'cause I'm having too much fun
Yeah-yeah, yeah-yeah

[Pre-Chorus]
You're on your knees, beggin' please
""Stay with me""
But honestly I just need to be
A little crazy

[Chorus 1]
All my life I've been good but now
I'm thinking 'What the hell'
All I want is to mess around
And I don't really care about
If you love me, if you hate me
You can't save me, baby, baby
All my life I've been good but now
Whoa 'What the hell'

[Post-Hook]
What, what
What, what the hell

[Verse 2]
So what if I go out on a million dates
Yeah-yeah, yeah-yeah
You never call or listen to me anyway
Yeah-yeah, yeah-yeah
I'd rather rage than sit around and wait all day
Yeah-yeah, yeah-yeah
Don't get me wrong, I just need some time to play

[Pre-Chorus]
You're on your knees, beggin' please
""Stay with me""
But honestly I just need to be
A little crazy

[Chorus 1]
All my life I've been good but now
I'm thinking 'What the hell'
All I want is to mess around
And I don't really care about
If you love me, if you hate me
You can't save me, baby, baby
All my life I've been good but now
Whoa 'What the hell'

[Bridge]
La la la la la la la la, whoa, whoa
La la la la la la la la, whoa, whoa
You say that I'm messing with your head
Boy, I like messing in your bed
Yeah, I am messing with your head
When I'm messing with you in bed

[Chorus 2]
All my life I've been good but now
I'm thinking what the hell (what the hell)
All I want is to mess around
And I don't really care about (I don't care about)
All my life I've been good but now
I'm thinking what the hell
All I want is to mess around
And I don't really care about (if you love me)
If you love me (no), if you hate me (no)
You can't save me, baby, baby (if you love me)
All my life I've been good but now
Whoa, what the hell

[Outro]
La la, La la la la la la
La la, La la la la la la la"
62,Born This Way,Lady Gaga,
63,Monster,Kanye West,"[Intro: Bon Iver]
I shoot the lights out
Hide 'til it's bright out
Oh just another lonely night
Are you willing to sacrifice your life?

[Intro Verse: Rick Ross]
Bitch, I'm a monster, no-good blood-sucker
Fat motherfucker, now look who's in trouble
As you run through my jungles all you hear is rumbles
Kanye West samples, here's one for example

[Hook: Kanye West]
Gossip, gossip, nigga just stop it
Everybody know I'm a motherfucking monster
I'ma need to see your fucking hands at the concert
I'ma need to see your fucking hands at the concert
Profit, profit, nigga I got it
Everybody know I'm a motherfucking monster
I'ma need to see your fucking hands at the concert
I'ma need to see your fucking hands

[Verse 1: Kanye West]
The best living or dead hands down, huh
Less talk, more head right now, huh
And my eyes more red than the devil is
And I'm about to take it to another level, bitch
No matter who you go and get
Ain't nobody cold as this
Do the rap and the track, triple double no assists
And my only focus is staying on some bogus shit
Arguing with my older bitch, acting like I owe her shit
I heard that people sing raps to give the track pain
Bought the chain that always give me back pain
Fucking up my money so yeah I had to act sane
Chi nigga but these hoes love my accent
Chick came up to me and said
""This the number to dial
If you wanna make your #1 your #2 now""
Mix that Goose and Malibu I call it ""Malibooyah""
Goddamn, Yeezy, how he hit 'em with a new style?
Know that motherfucker well: ""What you gonna do now?""
Whatever I want to do. Gosh! It's cool now
Know I'm gonna do, ah, it's the new now
Think you motherfuckers really really need to cool out
Cause you'll never get on top of this
So mommy, best advice is just to get on top of this
Have you ever had sex with a pharaoh?
Put the pussy in a sarcophagus
Now she claiming that I bruised her esophagus
Head of the class and she just won a swallowship
I'm living in the future so the present is my past
My presence is a present, kiss my ass

[Hook: Kanye West]
Gossip, gossip, nigga just stop it
Everybody know I'm a motherfucking monster
I'ma need to see your fucking hands at the concert
I'ma need to see your fucking hands at the concert
Profit, profit, nigga I got it
Everybody know I'm a motherfucking monster
I'ma need to see your fucking hands at the concert
I'ma need to see your fucking hands

[Verse 2: Jay Z]
Sasquatch, Godzilla, King Kong, Loch Ness
Goblin, ghoul, a zombie with no conscience
Question: What do these things all have in common?
Everybody knows I'm a motherfucking monster
Conquer, stomp ya, stop your silly nonsense
Nonsense, none of you niggas know where the swamp is
None of you niggas have seen the carnage that I've seen
I still hear fiends scream in my dreams
Murder, murder in black convertibles, I
Kill the block, I murder the avenues, I
Rape and pillage your village, women and children
Everybody want to know what my Achilles heel is
Love, I don't get enough of it
All I get is these vampires and blood-suckers
All I see is these niggas I made millionaires
Milling about, spilling they feelings in the air
All I see is these fake fucks with no fangs
Trying to draw blood from my ice-cold veins
I smell a massacre
Seems to be the only way to back you bastards up

[Hook: Kanye West]
Gossip, gossip, nigga just stop it
Everybody know I'm a motherfucking monster
I'ma need to see your fucking hands at the concert
I'ma need to see your fucking hands at the concert
Profit, profit, nigga I got it
Everybody know I'm a motherfucking monster
I'ma need to see your fucking hands at the concert
I'ma need to see your fucking hands

[Verse 3: Nicki Minaj]
Pull up in the monster automobile, gangsta
With a bad bitch that came from Sri Lanka
Yeah I'm in that Tonka color of Willy Wonka
You could be the king but watch the queen conquer
OK, first things first I'll eat your brains
Then I'm a start rocking gold teeth and fangs
Cause that's what a motherfucking monster do
Hair dresser from Milan that's the monster 'do
Monster Giuseppe heel, that's the monster shoe
Young Money is the roster and a monster crew
And I'm all up, all up, all up in the bank with the funny face
And if I'm fake, I ain't notice cause my money ain't
So let me get this straight, wait, I'm the rookie?
But my features and my shows ten times your pay?
50K for a verse, no album out
Yeah, my money's so tall that my Barbiez got to climb it
Hotter than a Middle Eastern climate, violent
Tony Matterhorn, dutty wine it, wylin'
Nicki on them titties when I sign it
That's how these niggas so one-track-minded
But really really I don't give a F-U-C-K
Forget Barbie, fuck Nicki cause she's fake
She on a diet but her pockets eating cheesecake
And I'll say bride of Chucky is child's play
Just killed another career, it's a mild day
Besides 'Ye, they can't stand besides me
I think me, you and Am should ménage Friday
Pink wig, thick ass, give 'em whiplash
I think big, get cash, make 'em blink fast
Now look at what you just saw, this is what you live for
Aaaah, I'm a motherfucking monster

[Outro: Bon Iver]
I crossed the limelight
And I'll let God decide
And I wouldn't last these shows
So I am headed home
I crossed the limelight
And I'll let God decide
And I wouldn't last these shows
So I am headed home
I crossed the limelight
And I'll let God decide
And I wouldn't last these shows
So I am headed home

[Produced by Kanye West, Mike Dean & Plain Pat]
[Video directed by Jake Nava]"
64,Marry You,Bruno Mars,"It's a beautiful night
We're looking for something dumb to do
Hey baby
I think I wanna marry you

Is it the look in your eyes
Or is it this dancing juice?
Who cares, baby
I think I wanna marry you

Well I know this little chapel on the boulevard we can go
No one will know
Oh come on girl
Who cares if we're trashed 
Got a pocket full of cash we can blow
Shots of patron
And it's on girl

Don't say no, no, no, no-no
Just say yeah, yeah, yeah, yeah-yeah
And we'll go, go, go, go-go
If you're ready, like I'm ready

Cause it's a beautiful night
We're looking for something dumb to do
Hey baby
I think I wanna marry you

Is it the look in your eyes
Or is it this dancing juice?
Who cares baby
I think I wanna marry you

I'll go get a ring let the choir bells sing like
So what you wanna do?
Let's just run girl
If we wake up and you wanna break up that's cool
No, I won't blame you
It was fun girl

Don't say no, no, no, no-no
Just say yeah, yeah, yeah, yeah-yeah
And we'll go, go, go, go-go
If you're ready, like I'm ready

Cause it's a beautiful night
We're looking for something dumb to do
Hey baby
I think I wanna marry you

Is it the look in your eyes
Or is it this dancing juice?
Who cares baby
I think I wanna marry you

Just say I do
Tell me right now baby
Tell me right now baby baby (x2)

It's a beautiful night
We're looking for something dumb to do
Hey baby
I think I wanna marry you

Is it the look in your eyes
Or is it this dancing juice?
Who cares baby
I think I wanna marry you..."
65,Best Thing I Never Had,Beyoncé,"What goes around comes back around (hey my baby) 
What goes around comes back around (hey my baby) 
What goes around comes back around (hey my baby) 
What goes around comes back around (hey my baby)

There was a time 
I thought, that you did everything right 
No lies, no wrong 
Boy I, must've been outta my mind 
So when I think of the time that I almost loved you 
You showed you ass and I saw the real you

Thank God you blew it 
Thank God I dodged the bullet 
I'm so over you 
So baby good lookin' out

I wanted you bad 
I'm so through with it 
Cuz honestly you turned out to be the best thing I never had 
You turned out to be the best thing I never had 
And I'm gon' always be the best thing you never had 
I bet it sucks to be you right now

So sad, you're hurt 
Boo hoo, oh, did you expect me to care? 
You don't deserve my tears 
I guess that's why they ain't there 
When I think that there was a time that I almost loved you 
You showed you ass and I saw the real you

Thank God you blew it 
Thank God I dodged the bullet 
I'm so over you 
So baby good lookin' out

I wanted you bad 
I'm so through with it 
Cuz honestly you turned out to be the best thing I never had 
I said, you turned out to be the best thing I never had 
And I'll never be the best thing you never had 
Oh baby I bet sucks to be you right now

I know you want me back 
It's time to face the facts 
That I'm the one that's got away 
Lord knows that it would take another place
Another time, another world, another life 
Thank God I found the good in goodbye

I used to want you so bad 
I'm so through it that 
Cuz honestly you turned out to be the best thing I never had 
You turned out to be the best thing I never had 
And I will always be the, best thing you never had
Best thing you never had!

I used to want you so bad 
I'm so through it that 
Cause honestly you turned out to be the best thing I never had 
Oh you turned out to be the best thing I never had 
Oh I will never be the best thing you never had 
Oh baby, I bet it sucks to be you right now

Goes around, comes back around 
Goes around, comes back around (Bet it sucks to be you right now)
Goes around, comes back around (Bet it sucks to be you right now)
Goes around, comes back around (Bet it sucks to be you right now)"
66,Party Rock Anthem,LMFAO,"[Intro]
Party Rock
Yeah
Wooo!
Let's go!

[Hook: LMFAO]
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time
We just wanna see you...
Shake that!

[Verse 1: LMFAO]
In the club: party rock
Looking for your girl? She on my jock
Non stop when we in the spot
Booty moving weight like she on the block
Where the drank? I gots to know
Tight jeans, tattoo, cause I'm rock and roll
Half-black, half-white: domino
Gainin' money. Oprah, dough
Yoooo!! I’m running through these hoes like Drano
I got that devilish flow rock and roll no halo, we party rock!
Yeah, that’s the crew that I’m repping
On the rise to the top, no lead in our zeppelin, hey!!!

[Hook: LMFAO]
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time
We just wanna see you...
Shake that!

Every day I’m shufflin'
Shufflin', shufflin'

[Verse 2: LMFAO]
Step up fast and be the first girl to make me throw this cash
We get money don’t be mad, now stop - hatin' is bad
One more shot for us (Another round!)
Please fill up my cup (Don’t mess around!)
We just wanna see (You shake it now!)
Now you wanna be (You're naked now!)

[Bridge: Lauren Bennett]
Get up get down put your hands up to the sound
Get up get down put your hands up to the sound
Get up get down put your hands up to the sound
Put your hands up to the sound
Put your hands up to the sound
Get up, get up, get up
Get up, get up, get up
Put your hands up to the sound
To the sound
Put your hands up

[Hook: LMFAO]
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time
We just wanna see you...
Shake that!

Ooooh, ooooh
Ooooh, ooooh
Everyday I'm shu-shufflin'"
67,We R Who We R,Kesha,
68,Price Tag,Jessie J,"[Intro: Jessie J]
Okay, Coconut Man, Moonhead and Pea
You ready?

[Verse 1: Jessie J]
Seems like everybody's got a price
I wonder how they sleep at night
When the sale comes first and the truth comes second
Just stop for a minute and smile
Why is everybody so serious?
Acting so damn mysterious
Got shades on your eyes
And your heels so high that you can't even have a good time

[Pre-Chorus: Jessie J]
Everybody look to their left
Everybody look to their right
Can you feel that?
Yeah, we're paying with love tonight

[Chorus: Jessie J]
It's not about the money, money, money
We don't need your money, money, money
We just wanna make the world dance
Forget about the price tag
Ain't about the, uh, cha-ching, cha-ching
Ain't about the, yeah, ba-bling, ba-bling
Wanna make the world dance
Forget about the price tag

[Verse 2: Jessie J]
We need to take it back in time
When music made us all unite
And it wasn't low blows and video hoes
Am I the only one getting tired?
Why is everybody so obsessed?
Money can't buy us happiness
Can we all slow down and enjoy right now?
Guarantee we'll be feeling alright

[Pre-Chorus: Jessie J]
Everybody look to their left
Everybody look to their right
Can you feel that?
Yeah, we're paying with love tonight

[Chorus: Jessie J]
It's not about the money, money, money
We don't need your money, money, money
We just wanna make the world dance
Forget about the price tag
Ain't about the, uh, cha-ching, cha-ching
Ain't about the, yeah, ba-bling, ba-bling
Wanna make the world dance
Forget about the price tag

[Verse 3: B.o.B]
Well, keep the price tag and take the cash back
Just give me six strings and a half stack
And you can keep the cars, leave me the garage
And all I, yes, all I need are keys and guitars
And it's within 30 seconds, I'm leaving to Mars
Yeah, we leaping across these undefeatable odds
It's like this man, you can't put a price on a life
We do this for the love, so we fight and sacrifice every night
So we ain't gon stumble and fall, never
Waiting to see this in the sign of defeat, uh-uh
So we gon keep everyone moving their feet
So bring back the beat and then everyone sing

[Chorus: Jessie J]
It's not about the money, money, money
We don't need your money, money, money
We just wanna make the world dance
Forget about the price tag
Ain't about the, uh, cha-ching, cha-ching
Ain't about the, yeah, ba-bling, ba-bling
Wanna make the world dance
Forget about the price tag
It's not about the money, money, money
We don't need your money, money, money
We just wanna make the world dance
Forget about the price tag
Ain't about the, uh, cha-ching, cha-ching
Ain't about the, yeah, ba-bling, ba-bling
Wanna make the world dance
Forget about the price tag

[Outro: Jessie J]
Yeah, yeah, ooh-ooh
Forget about the Price tag"
69,Good Life,OneRepublic,"Woke up in London yesterday
Found myself in the city near Piccadilly
Don't really know how I got here
I got some pictures on my phone

New names and numbers that I don't know
Address to places like Abbey Road
Day turns to night, night turns to whatever we want
We're young enough to say

Oh this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life

Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

To my friends in New York, I say hello
My friends in L.A. they don't know
Where I've been for the past few years or so
Paris to China to Colorado

Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories but please tell me
What there is to complain about

When you're happy like a fool
Let it take you over
When everything is out
You gotta take it in

Oh this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life

Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

Hopelessly
I feel like there might be something that I'll miss
Hopelessly
I feel like the window closes oh so quick
Hopelessly
I'm taking a mental picture of you now
'Cuz hopelessly
The hope is we have so much to feel good about

Oh this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life

Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

To my friends in New York, I say hello
My friends in L.A. they don't know
Where I've been for the past few years or so
Paris to China to Colorado

Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories but please tell me
What there is to complain about"
70,Just Can’t Get Enough,The Black Eyed Peas,"Boy I think about it every night, and day
I'm addicted, wanna jam inside your love
I wouldn't wanna have it any other way
I'm addicted, and I just can't get enough

I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough

Honey got her sexy on steamin'
She give my hot mess a new meanin'
Perfection, mam you gleamin'
Inception, you got a brother dreamin', dreamin'
Damn baby I'm feigning
I'm tryina holla at you I'm screamin'
Let me love you down this evenin'

Lovie lovie yeah you know you are my demon

Girl we are can form a team an'
I could be the King, you could be the Queen an'
My mind's dirty and it don't need cleanin'

I love you long time so you know the meanin'

Oh baby I can't come down, so please come help me out
You got me feelin' high and I can't step off the cloud
And I just can't get enough

Boy I think about it every night, and day
I'm addicted, wanna jam inside your love
I wouldn't wanna have it any other way
I'm addicted, and I just can't get enough

I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough

Honey got me runnin' like I'm Flo Jo
Signed her name on my heart with an XO
Love so sweet got me vexed though
I wanna wish it right back like Presto, yes
Meantime I wait for the next time
She come around for a toast to the best time
We are well back and forth on the text line
She got me fishin' for her love, I confess I'm 
Somethin 'bout her smile and a convo
Got me high and I ain't comin down yo
My heart's pumpin' out louder than electro
She got me feelin' like MR. ROBOTO

Oh baby I can't come down, so please come help me out
You got me feelin' high and I can't step off the cloud
And I just can't get enough

Boy I think about it every night, and day
I'm addicted, wanna jam inside your love
I wouldn't wanna have it any other way
I'm addicted, and I just can't get enough

""This has been a switch up""

Switchup!
Switchup! 
I, just, can't (switchup)
Locked, sunk in your bed-rock
Heart, pumpin your love-shot
Knocked, out by your cold-shot
I'm, stuck in your head-lock (switchup)
Can't-can't stop-stop won't-won't quit-quit
Makin me f-f-f-f-f-fien, give it to me
I want it all-all, you know what I mean
Your love is a dose of ecstasy (switchup)
Addicted, I can't get, away from, you
Afflicted, I need it, I miss it (switchup)
I want your love right next to me
And I can't erase you out of my memory 
I just can't (switchup)"
71,On The Floor,Jennifer Lopez,
72,What's My Name?,Rihanna,
73,Yeah 3x,Chris Brown,"Move your body, out on the floor
Put your troubles aside and start living
Anybody, can't let go,
Throw away all your problems
Cause right now it's party time
Girl don't feel outta place
Cause I, I'm in love with this feelin' now, now ahhhahh
Hope that this will last a while
We should make it last a while

You like to drink? So do we
Get my bottles, bring 'um to me
Hold your glasses up, people everywhere
Now everybody put your hands in the air

Yeah yeah yeah, Girl I wanna, yeah yeah yeah,
I wanna see you tonight, oo yeah
Yeah yeah yeah, Girl i gotta, yeah yeah yeah
I gotta I gotta I gotta see you tonight

Ohhh, Ohhh, Ohhhhhh, Let me see your hands
Ohhh, Ohhh, Ohhhhhh, Tonight is the night

Up in the moment, can't believe you're so beautiful
Feels like I'm in a dream
Baby we're going somewhere you've never been before
So take my hand and come with me
Girl don't feel outta place
Coz I, I'm in love with this feelin' now, now ahhhahh
Hope that this will last a while
We should make it last a while

You like to drink? So do we
Get my bottles, bring 'um to me
Hold your glasses up, people everywhere
Now everybody put your hands in the air

Yeah yeah yeah, Girl I wanna, yeah yeah yeah,
I wanna see you tonight, oo yeah
Yeah yeah yeah, Girl I gotta, yeah yeah yeah
I gotta I gotta I gotta see you tonight

Ohhh, ohhh, yeah, ohhhh
Let me see your hands
Ohhh, ohhh, dance, ohhhh
Tonight, tonight is the night

All the pretty young things at the party
Let me see your hands up
And if they mad and they don't wanna party
Tell them people get f****d
So DJ turn it loud, then watch me turn it up
Don't worry about it
We here to party so jump jump jump jump

Girl I wanna, I wanna see ya tonight
Yeah, girl I gotta I gotta I gotta I gotta see ya tonight

Yeah yeah yeah, yeah yeah yeah
I wanna see you tonight
Yeah yeah yeah, yeah yeah yeah
Tonight is the night"
74,Without You (feat. Usher),David Guetta,"I can't win, I can't reign
I will never win this game without you
Without you
I am lost, I am vain
I will never be the same without you
Without you

I won't run, I won't fly
I will never make it by without you
Without you
I can't rest, I can't fight
All I need is you and I
Without you

Without...

You! You! You! You!
You! You! You! You!

Without...

You! You! You! You!
Without you

Can't erase, so I'll take blame
But I can't accept that we were strange without you
Without you

I can't quit now, this can't be right
I can't take one more sleepless night without you
Without you

I won't soar, I won't climb
If you're not here, I'm paralyzed without you
Without you

I can't look, I'm so blind
Lost my heart, I lost my mind without you
Without....

You! You! You! You!
You! You! You! You!

Without...

You! You! You! You!
Without you

I am lost, I am vain
I will never be the same without you
Without you
Without you

Crédito: Eduardo Soares Roncoletta"
75,Sexy And I Know It,LMFAO,"When I walk on by
Girls be looking like damn he fly
I pay to the beat
Walking on the street
With in my new lafreak, yeah
This is how I roll
Animal print
Pants out control,
It's RedFOO with the big afro
And like Bruce Leroy I got the glow

Girl look at that body
Girl look at that body
Girl look at that body
I work out
Girl look at that body
Girl look at that body
Girl look at that body
I work out

When I walk in the spot
This is what I see
Everybody stops
And they staring at me
I got passion in my pants
And I ain't afraid to show it
Show it, show it, show it

I'm sexy and I know it
I'm sexy and I know it

Yeah, when I'm at the moss
Purity just can't fight them up
When I'm at the beach
I'm in a speedo trying to tan my cheeks
This is how I roll
Come on ladies it's time to go

We hit it to the bar
Baby don't be nervous
No shoes, no shirt
And I still get serviced

Girl look at that body
Girl look at that body
Girl look at that body
I work out
Girl look at that body
Girl look at that body
Girl look at that body
I work out

When I walk in the spot
This is what I see
Everybody stops
And they staring at me
I got passion in my pants
And I ain't afraid to show it
Show it, show it, show it

I'm sexy and I know it
I'm sexy and I know it

Check it out, check it out

Wiggle, wiggle, wiggle, wiggle, yeah...

Do the wiggle man
I do the wiggle man
Yeah

I'm sexy and I know it

Girl look at that body
Girl look at that body
Girl look at that body
I work out
Girl look at that body
Girl look at that body
Girl look at that body
I work out

I'm sexy and I know it"
76,The Edge Of Glory,Lady Gaga,"There ain't no reason you and me should be alone
Tonight yeah baby, tonight, yeah baby
But I got a reason that you-hoo should take me home tonight
I need a man that thinks it's right when it's so wrong
Tonight yeah baby, tonight yeah baby
Right on the limit's where we know we both belong tonight

It's time to feel the rush
To brush the dangerous
I'm gonna run right to, to the edge with you
Where we can both fall far in love

I'm on the edge of glory
And I'm hanging on a moment of truth
I'm on the edge of glory
And I'm hanging on a moment with you
I'm on the edge, the edge, the edge, the edge, the edge, the edge, the edge
I'm on the edge of glory
And I'm hanging on a moment with you
I'm on the edge with you

Another shot before we kiss the other side
Tonight yeah baby, tonight, yeah baby
I'm on the edge of something final we call life tonight
Alright, alright

Put on your shades
'Cause I'll be dancing in the flames
Tonight yeah baby, tonight, yeah baby
It isn't a hell if everybody knows my name tonight
Alright, alright

It's hot to feel the rush
To push the dangerous
I'm gonna run right to, to the edge with you
Where we can both fall far in love

I'm on the edge of glory
And I'm hanging on a moment of truth
I'm on the edge of glory
And I'm hanging on a moment with you
I'm on the edge, the edge, the edge, the edge, the edge, the edge, the edge
I'm on the edge of glory
And I'm hanging on a moment with you
I'm on the edge with you

I'm on the edge with you
I'm on the edge with you

I'm on the edge of glory
And I'm hanging on a moment of truth
I'm on the edge of glory
And I'm hanging on a moment with you
I'm on the edge, the edge, the edge, the edge, the edge, the edge, the edge
I'm on the edge of glory
And I'm hanging on a moment with you (I'm on the edge with you)

With you, with you, with you, with you, with you
I'm on the edge with you, with you, with you, with you
I'm on the edge with you, with you, with you, with you
I'm on the edge with you, with you, with you, with you"
77,E.T.,Katy Perry,
78,Till the World Ends,Britney Spears,"This kicked in got your tongue tied in knots, I see
Spit it out 'cause I'm dying for company
I notice that you got it
You notice that I want it
You know that I can take it to the next level ba-by
If you want this good shit
Sicker than the remix
Baby let me blow your mind tonight

I can't take it, take it, take no more
Never felt like, felt like this before
Come on get me, get me on the floor
DJ what you, what you waiting for?

Oh oh oh oh oh oh oh

Watch me move when I lose, when I lose it hard
Get you off with the touching dance in the dark
You notice what I'm wearing
You notice when you're stepping
You know that I can take it to the next level ba-by
Hotter than the A-list
Next one on my hit list
Baby let me blow your mind tonight

I can't take it, take it, take no more
Never felt like, felt like this before
Come on get me, get me on the floor
DJ what you, what you waiting for?

Oh oh oh oh oh oh oh

See the sunlight, we ain't stopping
Keep on dancing til the world ends
If you feel it, let it happen
Keep on dancing til the world ends
Keep on dancing til the world ends
Keep on dancing til the world ends

Oh oh oh oh oh oh oh

See the sunlight, we ain't stopping
Keep on dancing til the world ends
If you feel it, let it happen
Keep on dancing til the world ends
Keep on dancing til the world ends
Keep on dancing til the world ends"
79,I Wanna Go,Britney Spears,"Lately I've been stuck imaginin'
What I wanna do and what I really think
Time to blow out
Be a little inappropriate
'Cause I know that everybody's thinkin' it
When the light's out

Shame on me
To need release
Uncontrollably

I-I-I wanna go-o-o
All the way-ay-ay
Takin' out my freak tonight
I-I-I wanna sho-o-ow
All the dir-ir-irt
I got runnin' through my mind
Woah

I-I-I wanna go-o-o
All the way-ay-ay
Takin' out my freak tonight
I-I-I wanna sho-o-ow
All the dir-ir-irt
I got runnin' through my mind
Woah

Lately, people got me all tied up
There's a countdown waiting for me to erupt
Time to blow out
I've been told who I should do it with
To keep both my hands above the blanket
When the light's out

Shame on me
To need release
Uncontrollably

I-I-I wanna go-o-o
All the way-ay-ay
Takin' out my freak tonight
I-I-I wanna sho-o-ow
All the dir-ir-irt
I got runnin' through my mind
Woah

I-I-I wanna go-o-o
All the way-ay-ay
Takin' out my freak tonight
I-I-I wanna sho-o-ow
All the dir-ir-irt
I got runnin' through my mind
Woah

Shame on me
To need release
Uncontrollably

I-I-I wanna go-o-o
All the way-ay-ay
Takin' out my freak tonight
I-I-I wanna sho-o-ow
All the dir-ir-irt
I got runnin' through my mind
Woah

I-I-I wanna go-o-o
All the way-ay-ay
Takin' out my freak tonight
I-I-I wanna show-ow-ow
All the dir-ir-irt
I got runnin' through my mind
Woah"
